"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
" ,2025-07-25,Mumbai (BOM),Srinagar (SXR),A20N (VT-TQS),2:16,1900-01-01 09:40:00,1900-01-01 10:20:00,1900-01-01 12:40:00,1900-01-01 12:36:00,40.0,-4.0,9.0,Friday,-4.0,9.0,12.0,40.0,-4.0,12.0,4.0,Mumbai (BOM)-Srinagar (SXR),9,4,87,39,40.0"
" ,2025-07-24,Mumbai (BOM),Srinagar (SXR),A20N (VT-TQM),2:22,1900-01-01 09:40:00,1900-01-01 09:54:00,1900-01-01 12:40:00,1900-01-01 12:16:00,14.0,-24.0,9.0,Thursday,-24.0,9.0,12.0,14.0,-24.0,12.0,3.0,Mumbai (BOM)-Srinagar (SXR),9,3,82,39,14.0"
" ,2025-07-23,Mumbai (BOM),Srinagar (SXR),A20N (VT-TQA),2:15,1900-01-01 09:40:00,1900-01-01 09:59:00,1900-01-01 12:40:00,1900-01-01 12:14:00,19.0,-26.0,9.0,Wednesday,-26.0,9.0,12.0,19.0,-26.0,12.0,2.0,Mumbai (BOM)-Srinagar (SXR),9,2,73,39,19.0"
" ,2025-07-22,Mumbai (BOM),Srinagar (SXR),A20N (VT-TNC),2:21,1900-01-01 09:40:00,1900-01-01 09:48:00,1900-01-01 12:40:00,1900-01-01 12:09:00,8.0,-31.0,9.0,Tuesday,-31.0,9.0,12.0,8.0,-31.0,12.0,1.0,Mumbai (BOM)-Srinagar (SXR),9,1,59,39,8.0"
" ,2025-07-21,Mumbai (BOM),Srinagar (SXR),A20N (VT-TNF),2:23,1900-01-01 09:40:00,1900-01-01 11:45:00,1900-01-01 12:40:00,1900-01-01 14:08:00,125.0,88.0,9.0,Monday,88.0,9.0,12.0,125.0,88.0,12.0,0.0,Mumbai (BOM)-Srinagar (SXR),9,0,61,39,125.0"
" ,2025-07-20,Mumbai (BOM),Srinagar (SXR),A20N (VT-TQT),2:21,1900-01-01 09:40:00,1900-01-01 09:51:00,1900-01-01 12:40:00,1900-01-01 12:12:00,11.0,-28.0,9.0,Sunday,-28.0,9.0,12.0,11.0,-28.0,12.0,6.0,Mumbai (BOM)-Srinagar (SXR),9,6,88,39,11.0"
" ,2025-07-19,Mumbai (BOM),Srinagar (SXR),A20N (VT-TNQ),2:21,1900-01-01 09:40:00,1900-01-01 09:42:00,1900-01-01 12:40:00,1900-01-01 12:02:00,2.0,-38.0,9.0,Saturday,-38.0,9.0,12.0,2.0,-38.0,12.0,5.0,Mumbai (BOM)-Srinagar (SXR),9,5,66,39,2.0"
" ,2025-07-25,Mumbai (BOM),Dhaka (DAC),A21N (VT-IML),2:41,1900-01-01 09:40:00,1900-01-01 10:45:00,1900-01-01 13:10:00,1900-01-01 13:56:00,65.0,46.0,9.0,Friday,46.0,9.0,13.0,65.0,46.0,13.0,4.0,Mumbai (BOM)-Dhaka (DAC),9,4,125,14,65.0"
" ,2025-07-24,Mumbai (BOM),Dhaka (DAC),A21N (VT-IMZ),2:43,1900-01-01 09:40:00,1900-01-01 10:24:00,1900-01-01 13:10:00,1900-01-01 13:36:00,44.0,26.0,9.0,Thursday,26.0,9.0,13.0,44.0,26.0,13.0,3.0,Mumbai (BOM)-Dhaka (DAC),9,3,128,14,44.0"
" ,2025-07-23,Mumbai (BOM),Dhaka (DAC),A21N (VT-IBW),2:35,1900-01-01 09:40:00,1900-01-01 10:37:00,1900-01-01 13:10:00,1900-01-01 13:42:00,57.0,32.0,9.0,Wednesday,32.0,9.0,13.0,57.0,32.0,13.0,2.0,Mumbai (BOM)-Dhaka (DAC),9,2,97,14,57.0"
